query	document	reference	score	query_type
What is the purpose of the Atonement?	For it is expedient that an atonement should be made; for according to the great plan of the Eternal God there must be an atonement made, or else all mankind must unavoidably perish; yea, all are hardened; yea, all are fallen and are lost, and must perish except it be through the atonement which it is expedient should be made.	Alma 34:9	3	thematic
What is the purpose of the Atonement?	And now, the plan of mercy could not be brought about except an atonement should be made; therefore God himself atoneth for the sins of the world, to bring about the plan of mercy, to appease the demands of justice, that God might be a perfect, just God, and a merciful God also.	Alma 42:15	3	thematic
What is the purpose of the Atonement?	For the atonement satisfieth the demands of his justice upon all those who have not the law given to them, that they are delivered from that awful monster, death and hell, and the devil, and the lake of fire and brimstone, which is endless torment; and they are restored to that God who gave them breath, which is the Holy One of Israel.	2 Nephi 9:26	3	thematic
What is the purpose of the Atonement?	But the law requireth the life of him who hath murdered; therefore there can be nothing which is short of an infinite atonement which will suffice for the sins of the world.	Alma 34:12	3	thematic
What is the purpose of the Atonement?	And thus he shall bring salvation to all those who shall believe on his name; this being the intent of this last sacrifice, to bring about the bowels of mercy, which overpowereth justice, and bringeth about means unto men that they may have faith unto repentance.	Alma 34:15	3	thematic
What does scripture say about repentance?	Repent ye therefore, and be converted, that your sins may be blotted out, when the times of refreshing shall come from the presence of the Lord;	Acts 3:19	3	thematic
What does scripture say about repentance?	I tell you, Nay: but, except ye repent, ye shall all likewise perish.	Luke 13:3	3	thematic
What does scripture say about repentance?	But if ye will repent and return unto the Lord your God I will turn away mine anger, saith the Lord; yea, thus saith the Lord, blessed are they who will repent and turn unto me, but wo unto him that repenteth not.	Helaman 13:11	3	thematic
What does scripture say about repentance?	For godly sorrow worketh repentance to salvation not to be repented of: but the sorrow of the world worketh death.	2 Corinthians 7:10	3	thematic
What does scripture say about repentance?	And saying, Repent ye: for the kingdom of heaven is at hand.	Matthew 3:2	3	thematic
How do scriptures describe the resurrection of the dead?	Their sleeping dust was to be restored unto its perfect frame, bone to his bone, and the sinews and the flesh upon them, the spirit and the body to be united never again to be divided, that they might receive a fulness of joy.	D&C 138:17	3	cross_reference
How do scriptures describe the resurrection of the dead?	But some man will say, How are the dead raised up? and with what body do they come?	1 Corinthians 15:35	2	cross_reference
How do scriptures describe the resurrection of the dead?	So also is the resurrection of the dead. It is sown in corruption; it is raised in incorruption:	1 Corinthians 15:42	3	cross_reference
How do scriptures describe the resurrection of the dead?	Behold, he bringeth to pass the resurrection of the dead. But behold, my son, the resurrection is not yet. Now, I unfold unto you a mystery; nevertheless, there are many mysteries which are kept, that no one knoweth them save God himself. But I show unto you one thing which I have inquired diligently of God that I might know—that is concerning the resurrection.	Alma 40:3	3	cross_reference
How do scriptures describe the resurrection of the dead?	Thy dead men shall live, together with my dead body shall they arise. Awake and sing, ye that dwell in dust: for thy dew is as the dew of herbs, and the earth shall cast out the dead.	Isaiah 26:19	3	cross_reference
How is the gathering of Israel described across scripture?	And it shall come to pass that they shall be gathered in from their long dispersion, from the isles of the sea, and from the four parts of the earth; and the nations of the Gentiles shall be great in the eyes of me, saith God, in carrying them forth to the lands of their inheritance.	2 Nephi 10:8	3	cross_reference
How is the gathering of Israel described across scripture?	And then will I gather them in from the four quarters of the earth; and then will I fulfil the covenant which the Father hath made unto all the people of the house of Israel.	3 Nephi 16:5	3	cross_reference
How is the gathering of Israel described across scripture?	And he shall set up an ensign for the nations, and shall assemble the outcasts of Israel, and gather together the dispersed of Judah from the four corners of the earth.	2 Nephi 21:12	3	cross_reference
How is the gathering of Israel described across scripture?	And verily I say unto you, I give unto you a sign, that ye may know the time when these things shall be about to take place—that I shall gather in, from their long dispersion, my people, O house of Israel, and shall establish again among them my Zion;	3 Nephi 21:1	3	cross_reference
How is the gathering of Israel described across scripture?	And he shall set up an ensign for the nations, and shall assemble the outcasts of Israel, and gather together the dispersed of Judah from the four corners of the earth.	Isaiah 11:12	3	cross_reference
How can we receive personal revelation?	If thou shalt ask, thou shalt receive revelation upon revelation, knowledge upon knowledge, that thou mayest know the mysteries and peaceable things—that which bringeth joy, that which bringeth life eternal.	D&C 42:61	3	thematic
How can we receive personal revelation?	Wherefore, you are left to inquire for yourself at my hand, and ponder upon the things which you have received.	D&C 30:3	3	thematic
How can we receive personal revelation?	Behold, I say unto you they are made known unto me by the Holy Spirit of God. Behold, I have fasted and prayed many days that I might know these things of myself. And now I do know of myself that they are true; for the Lord God hath made them manifest unto me by his Holy Spirit; and this is the spirit of revelation which is in me.	Alma 5:46	3	thematic
How can we receive personal revelation?	Yea, behold, I will tell you in your mind and in your heart, by the Holy Ghost, which shall come upon you and which shall dwell in your heart.	D&C 8:2	3	thematic
How can we receive personal revelation?	And from time to time, as shall be manifested by the Comforter, receive revelations to unfold the mysteries of the kingdom;	D&C 90:14	3	thematic
What is the Word of Wisdom?	A WORD OF WISDOM, for the benefit of the council of high priests, assembled in Kirtland, and the church, and also the saints in Zion—	D&C 89:1	3	factual
What is the Word of Wisdom?	To be sent greeting; not by commandment or constraint, but by revelation and the word of wisdom, showing forth the order and will of God in the temporal salvation of all saints in the last days—	D&C 89:2	3	factual
What is the Word of Wisdom?	Behold, verily, thus saith the Lord unto you: In consequence of evils and designs which do and will exist in the hearts of conspiring men in the last days, I have warned you, and forewarn you, by giving unto you this word of wisdom by revelation—	D&C 89:4	3	factual
What is the Word of Wisdom?	Given for a principle with promise, adapted to the capacity of the weak and the weakest of all saints, who are or can be called saints.	D&C 89:3	3	factual
What is the Word of Wisdom?	And shall find wisdom and great treasures of knowledge, even hidden treasures;	D&C 89:19	2	factual
Who was Nephi's father?	And it came to pass that he had two sons. He gave unto the eldest the name of Nephi, and unto the youngest, the name of Lehi. And they began to grow up unto the Lord.	Helaman 3:21	1	factual
Who was Nephi's father?	And it came to pass after my father, Lehi, had spoken unto all his household, according to the feelings of his heart and the Spirit of the Lord which was in him, he waxed old. And it came to pass that he died, and was buried.	2 Nephi 4:12	3	factual
Who was Nephi's father?	Wherefore, after my father had made an end of speaking concerning the prophecies of Joseph, he called the children of Laman, his sons, and his daughters, and said unto them: Behold, my sons, and my daughters, who are the sons and the daughters of my firstborn, I would that ye should give ear unto my words.	2 Nephi 4:3	3	factual
Who was Nephi's father?	And it came to pass that when my father had made an end of speaking unto them, behold, he spake unto the sons of Ishmael, yea, and even all his household.	2 Nephi 4:10	1	factual
Who was Nephi's father?	I, Nephi, having been born of goodly parents, therefore I was taught somewhat in all the learning of my father; and having seen many afflictions in the course of my days, nevertheless, having been highly favored of the Lord in all my days; yea, having had a great knowledge of the goodness and the mysteries of God, therefore I make a record of my proceedings in my days.	1 Nephi 1:1	2	factual
Who built the ark?	Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch.	Genesis 6:14	3	factual
Who built the ark?	A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it.	Genesis 6:16	2	factual
Who built the ark?	And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.	Genesis 6:15	2	factual
